OBJECTID,Census_Tract,IBL_Rank,EHD_Rank,Env_SEF_Rank,Count_,Population,Percentage,Lower_ME,Upper_ME,SHAPE_Length,SHAPE_Area
1,53053062000,10,10,10,750,1696,44.22,44.12,44.32,9852.89880063641,4550109.38555022
2,53053071601,8,10,10,661,1844,35.85,35.76,35.93,12777.8229435705,8723994.43388837
3,53053073111,3,7,4,355,1507,23.56,23.49,23.62,14200.8897774077,8057223.45764601
4,53053940007,8,10,10,383,1034,37.04,36.96,37.12,10220.3993490009,5453216.62174595
5,53053940006,9,10,10,461,1090,42.29,42.21,42.37,8624.02629986507,3954285.17504494
6,53053073116,2,3,2,339,1592,21.29,21.22,21.37,25342.6733405413,34719623.0338415
7,53053072800,8,3,5,1363,3831,35.58,35.5,35.65,38988.3202648432,50699583.6494462
8,53053072107,2,5,3,392,1672,23.44,23.37,23.52,14541.0491073299,10913595.7068685
9,53053071703,10,9,9,773,1586,48.74,48.64,48.84,9709.50439301819,1993702.03091981
10,53053073113,5,7,5,710,2494,28.47,28.38,28.55,31969.3201487919,39864839.3871352
11,53053072506,6,2,2,461,1483,31.09,31.02,31.16,35572.9370915588,60040427.8064713
12,53053071411,9,7,9,783,2052,38.16,38.07,38.24,14029.5056679076,7281973.45348764
13,53053071410,5,7,8,791,2767,28.59,28.5,28.67,18707.3212887554,12641626.8583112
14,53053072308,8,5,6,1076,2837,37.93,37.84,38.01,32424.8669431807,36741207.5685828
15,53053940010,2,7,4,456,2032,22.44,22.38,22.5,29463.2839470688,19857082.6013365
16,53053071409,8,8,10,608,1608,37.81,37.72,37.91,10111.7834091589,4585685.54853708
17,53053073302,6,8,3,537,1716,31.29,31.21,31.38,16171.6653527438,6656509.72101139
18,53053071803,10,9,7,1195,2582,46.28,46.19,46.38,17886.2053601652,9957859.86241293
19,53053073115,3,5,6,362,1537,23.55,23.48,23.62,17207.7339139014,14750333.6791551
20,53053072106,8,9,9,1125,2983,37.71,37.63,37.8,12512.9427317323,7363259.48887946
21,53053072105,5,6,5,538,1803,29.84,29.77,29.91,15871.5093542385,10141235.8852406
22,53053062600,10,10,9,1015,1760,57.67,57.57,57.77,28138.6611590048,15067405.8552902
23,53053073200,4,2,4,664,2549,26.05,25.99,26.11,190464.219856058,1195569689.99383
24,53053072410,3,2,1,361,1480,24.39,24.31,24.48,38541.0970614706,83382826.5420257
25,53053073110,3,5,4,327,1349,24.24,24.17,24.32,17871.3373698341,12530024.6316862
26,53053073108,9,7,8,1129,2938,38.43,38.34,38.51,21638.6331642751,21354496.5383878
27,53053071902,6,9,3,699,2260,30.93,30.84,31.02,24635.9023997961,19594371.2892017
28,53053072307,8,6,5,709,1994,35.56,35.48,35.63,10566.30511424,4232699.29832808
29,53053072311,9,7,7,915,2141,42.74,42.67,42.81,11888.7827401771,5311844.98098245
30,53053072109,3,1,1,354,1429,24.77,24.71,24.83,27357.360866227,31577308.5977074
31,53053072407,7,6,3,654,1993,32.81,32.73,32.9,27309.7556908574,20689672.7745432
32,53053073001,8,3,7,833,2383,34.96,34.85,35.06,53617.5649777687,140209654.817154
33,53053070100,8,3,5,455,1254,36.28,36.19,36.38,351469.539749775,4102421785.02823
34,53053073006,4,2,5,397,1527,26,25.92,26.08,84043.3940565779,260700705.019669
35,53053070206,6,4,3,467,1509,30.95,30.88,31.02,62629.7523312914,85035384.31117
36,53053071506,6,7,7,604,1953,30.93,30.85,31,16361.6156467442,8488473.67159096
37,53053071504,10,10,9,756,1721,43.93,43.83,44.03,9813.22288347123,5729193.83371545
38,53053070309,6,4,1,646,2141,30.17,30.09,30.25,28654.1914618033,25072624.2146657
39,53053063501,9,10,10,662,1613,41.04,40.93,41.15,8148.8693186686,4159531.54291412
40,53053071901,10,10,9,1185,2278,52.02,51.89,52.15,16531.9335431626,9024740.04007629
41,53053062900,7,10,7,1138,3357,33.9,33.82,33.97,14993.2799193032,6456323.87581818
42,53053063000,9,9,9,479,1183,40.49,40.38,40.6,11129.673857248,4773372.02431807
43,53053070401,3,8,4,185,765,24.18,24.1,24.26,27120.3176074669,21058370.6155234
44,53053063502,10,9,8,781,1742,44.83,44.73,44.93,8302.29728471328,4190048.33406555
45,53053072405,2,1,1,356,1528,23.3,23.24,23.36,41059.520630457,59120183.3254043
46,53053061200,8,9,7,803,2248,35.72,35.64,35.8,8061.74637849832,4100679.9903658
47,53053073404,4,7,4,723,2621,27.58,27.51,27.66,16235.6111736563,13854184.6612307
48,53053073005,3,3,4,483,1938,24.92,24.84,25.01,45331.6797345707,115732873.732568
49,53053072504,3,5,3,351,1432,24.51,24.44,24.58,38498.8533207512,49287059.2101361
50,53053072309,7,5,3,841,2548,33.01,32.92,33.09,17387.9312933719,11976544.8423111
51,53053060300,6,6,2,680,2094,32.47,32.41,32.53,24584.062934674,33426975.7138998
52,53053071706,10,10,8,363,748,48.53,48.41,48.65,12161.946213234,3507845.73352883
53,53053071705,10,9,10,615,1283,47.93,47.82,48.05,9905.98090263008,5167035.83425498
54,53053071704,10,9,10,839,1711,49.04,48.93,49.14,8191.38171531014,2924604.97951009
55,53053072408,7,5,3,825,2425,34.02,33.93,34.11,30901.2668915204,44391587.8054213
56,53053071403,8,8,9,567,1612,35.17,35.09,35.26,14767.3170916872,13153818.1895224
57,53053070207,5,2,2,635,2196,28.92,28.83,29,41358.7930906594,72122135.2631413
58,53053071209,2,6,3,284,1384,20.52,20.45,20.59,9859.02730913194,5026348.0174892
59,53053072406,4,4,1,596,2263,26.34,26.26,26.42,28062.2363847763,36508011.7967206
60,53053061601,10,10,9,569,1296,43.9,43.81,44,6923.1271752308,1652068.73610762
61,53053061800,9,10,7,453,1055,42.94,42.82,43.06,7469.54839769016,2997812.25796798
62,53053072603,8,4,5,797,2155,36.98,36.88,37.09,85760.7187598432,428547758.320937
63,53053072602,6,1,3,474,1511,31.37,31.28,31.46,65244.9248130798,178975400.212784
64,53053072601,1,2,2,357,1981,18.02,17.96,18.08,43258.823520338,102684445.743904
65,53053061500,8,10,5,1143,3141,36.39,36.32,36.46,8042.87140338116,2542333.77835561
66,53053072503,2,3,2,342,1640,20.85,20.78,20.92,29083.3175176667,49329478.801027
67,53053061300,10,10,9,901,1854,48.6,48.51,48.69,7926.91057836017,3415668.23558201
68,53053061700,8,10,8,721,1924,37.47,37.38,37.57,10789.3224635043,5735479.10160645
69,53053070307,5,4,2,517,1804,28.66,28.58,28.74,58424.1247369151,62424354.5082711
70,53053061602,8,10,9,157,417,37.65,37.54,37.76,8240.25400008451,2292559.94891528
71,53053070308,5,5,3,449,1522,29.5,29.42,29.58,13175.0625806883,7117792.94753099
72,53053072305,5,6,3,683,2400,28.46,28.38,28.53,14266.0799850179,8814865.85235896
73,53053062801,10,10,9,1704,2913,58.5,58.4,58.59,18018.6964790423,8204601.09311429
74,53053071210,4,6,3,500,1907,26.22,26.15,26.28,23279.1154766019,18777356.2132915
75,53053071307,4,7,4,504,1836,27.45,27.38,27.52,14209.4876381557,11276498.0643287
76,53053062802,7,10,8,473,1437,32.92,32.82,33.01,12308.536514143,6496364.45423408
77,53053063400,10,9,9,1362,2998,45.43,45.33,45.53,11799.3418562729,8352137.49048689
78,53053072108,9,8,5,791,1979,39.97,39.87,40.07,14228.889013881,9049462.4382817
79,53053071408,9,6,8,541,1412,38.31,38.22,38.41,11899.3746026932,6309154.84615421
80,53053073114,7,6,7,652,1895,34.41,34.31,34.5,23505.5172570607,14894284.3491431
81,53053071503,9,9,9,863,2140,40.33,40.22,40.43,18623.7253101512,12320000.4078389
82,53053061400,10,10,10,716,1273,56.25,56.15,56.34,6112.95417671407,2010509.06922512
83,53053940002,6,9,7,463,1516,30.54,30.49,30.59,30669.3468002585,29395981.354096
84,53053072313,3,5,3,356,1416,25.14,25.07,25.22,11058.9818011599,5542532.94766786
85,53053071806,10,10,10,940,1691,55.59,55.49,55.69,10776.8479440685,3686850.24413553
86,53053062500,9,10,8,1079,2748,39.26,39.18,39.35,9997.04887018647,6284473.52198715
87,53053072111,2,5,3,207,977,21.19,21.11,21.27,10411.3887147264,4211382.27564688
88,53053072112,8,6,6,709,1923,36.87,36.78,36.96,15052.1729252014,5205778.70679501
89,53053940011,2,5,1,376,1612,23.33,23.29,23.36,22673.8474872346,8146944.72402389
90,53053071805,10,10,9,771,1369,56.32,56.21,56.43,8194.84013169797,2916761.33082731
91,53053060600,6,5,2,837,2702,30.98,30.9,31.05,21722.0332928759,14923157.0809618
92,53053061100,8,8,4,1027,2762,37.18,37.1,37.27,13811.4534561496,9532817.50115065
93,53053072312,9,7,6,909,2300,39.52,39.43,39.62,11247.7919068654,5349473.59766554
94,53053071808,8,10,10,599,1665,35.98,35.89,36.06,8452.43695768326,4486179.87063016
95,53053071807,10,10,9,770,1553,49.58,49.49,49.68,16490.8140210741,9172563.70704453
96,53053073123,4,6,2,443,1658,26.72,26.64,26.8,29410.5531381205,20850791.2011338
97,53053070404,7,4,6,554,1611,34.39,34.31,34.46,26638.1831688793,11299531.5315587
98,53053070403,4,3,5,387,1484,26.08,25.99,26.16,40352.0626449397,30653442.8762384
99,53053070313,2,6,2,499,2231,22.37,22.29,22.44,30918.550372276,30276892.7295273
100,53053070314,2,1,1,273,1180,23.14,23.05,23.22,18067.6010234253,12514568.6973451
101,53053070315,4,3,2,631,2255,27.98,27.92,28.04,25512.9122017446,21387389.2767459
102,53053070316,3,5,1,597,2312,25.82,25.73,25.91,12526.6880576179,7547590.18936347
103,53053073125,7,7,6,1230,3767,32.65,32.58,32.72,21162.5401175831,13487352.0987496
104,53053072903,10,8,7,541,1024,52.83,52.7,52.96,43582.8559544222,66665345.0207954
105,53053071407,8,6,7,801,2229,35.94,35.84,36.03,19416.7193830067,18181506.6679979
106,53053060800,3,2,1,556,2222,25.02,24.95,25.1,10056.8363169588,5606368.04614268
107,53053073119,7,2,4,388,1148,33.8,33.7,33.89,81676.6526820699,214226604.395842
108,53053072507,6,2,1,462,1458,31.69,31.61,31.76,18598.3655939381,12467994.5725786
109,53053072409,5,2,1,285,977,29.17,29.1,29.24,19924.3638195738,18343279.5956362
110,53053071406,2,7,6,570,2630,21.67,21.6,21.75,29378.0758196568,35491811.9738562
111,53053073126,7,7,7,414,1194,34.67,34.55,34.79,7364.2378247833,3026600.78672868
112,53053073408,4,8,4,464,1745,26.59,26.53,26.65,13703.4788862182,5983625.07783107
113,53053073406,8,9,4,873,2453,35.59,35.5,35.67,17862.3674806454,9573888.84474321
114,53053073121,4,7,4,415,1590,26.1,26.03,26.17,10495.6384261373,6145576.76793135
115,53053071310,4,6,4,560,2091,26.78,26.7,26.86,17078.8743391231,14041474.5488824
116,53053071309,5,7,5,441,1484,29.72,29.65,29.79,19222.8745168394,8921414.22227227
117,53053072906,1,3,1,0,7,0 (NR),0,4.2,148919.546143778,497402636.221962
118,53053940004,3,8,3,600,2546,23.57,23.53,23.6,30982.3848003142,39038994.7693185
119,53053071206,7,8,6,813,2447,33.22,33.13,33.32,19207.2950505602,17059986.5523312
120,53053062300,7,10,8,641,1880,34.1,34.02,34.17,10006.4492391271,5320313.35420049
121,53053060200,8,10,10,226,610,37.05,36.96,37.14,37577.2656573068,54070404.7538223
122,53053060904,8,7,7,791,2226,35.53,35.43,35.64,9419.89141845582,4231478.96233834
123,53053061002,9,8,9,919,2205,41.68,41.59,41.77,11252.7175621447,6547348.55460449
124,53053061001,8,6,4,643,1741,36.93,36.85,37.01,14056.5562638061,9946767.76452136
125,53053070312,1,4,1,358,2067,17.32,17.26,17.38,21716.096537226,17999140.2644811
126,53053940003,8,9,7,1063,2872,37.01,36.97,37.06,13888.8371037349,9130288.07597412
127,53053073120,5,7,5,418,1488,28.09,28.02,28.17,14335.0699345355,7158954.19982368
128,53053073122,7,6,6,578,1772,32.62,32.55,32.69,17351.5601163168,10857020.0318639
129,53053073405,8,10,8,546,1488,36.69,36.6,36.78,12539.589714289,6428977.21887188
130,53053073407,5,8,4,452,1512,29.89,29.81,29.98,11429.2949772126,5227124.19675171
131,53053073124,6,6,5,405,1338,30.27,30.18,30.36,13488.0183662805,8439256.54245756
132,53053070703,6,7,4,775,2490,31.12,31.06,31.19,17511.6419828308,12688813.2243454
133,53053071306,3,6,4,573,2293,24.99,24.9,25.08,25663.4049765078,26419038.9426778
134,53053073301,10,9,8,1127,2376,47.43,47.32,47.55,29415.6047044005,32112671.376831
135,53053060700,4,6,1,631,2348,26.87,26.79,26.95,8579.35497570146,4569932.95531631
136,53053072310,8,8,6,600,1689,35.52,35.43,35.61,11249.4450866708,4549570.82207776
137,53053072000,9,9,9,839,1976,42.46,42.37,42.55,18513.4928046751,6821591.69004613
138,53053073118,5,3,6,468,1564,29.92,29.84,30.01,41554.6828639127,67035602.7910483
139,53053072905,10,8,7,1270,1868,67.99,67.9,68.07,18580.64877558,12544798.7040596
140,53053072907,10,6,9,907,1318,68.82,68.71,68.92,30442.578603094,34931306.7759489
141,53053073500,4,6,1,799,3023,26.43,26.36,26.51,25992.3333802771,35515483.1833563
142,53053061900,10,10,9,374,793,47.16,47.04,47.29,6015.41631695217,2253754.00397982
143,53053070310,2,5,2,400,1712,23.36,23.3,23.43,17586.1978324806,12251771.8784726
144,53053072901,10,9,6,365,827,44.14,44.05,44.22,38508.3542307972,39385966.0993328
145,53053071602,8,9,9,1168,3111,37.54,37.47,37.62,15623.8468081022,10146666.9665003
146,53053071305,6,9,8,422,1381,30.56,30.47,30.65,20623.3687588001,21532560.2968967
147,53053073117,3,3,2,327,1376,23.76,23.69,23.84,50187.9560041704,106598505.946074
148,53053072505,2,1,1,717,3511,20.42,20.37,20.48,30307.2326133778,47219098.4915135
149,53053940005,7,8,8,709,2080,34.09,34.04,34.14,18143.056762622,9258307.17210761
150,53053060500,4,2,1,458,1700,26.94,26.88,27,12133.2176957724,6047430.0039344
151,53053060905,9,7,5,1226,3139,39.06,38.98,39.14,12068.6059161594,8738546.92515005
152,53053060906,7,5,3,317,939,33.76,33.69,33.83,7700.61538467757,3423830.74748004
153,53053060903,6,4,6,470,1446,32.5,32.42,32.58,11472.8242251278,8156626.03187597
154,53053060400,4,4,1,454,1636,27.75,27.69,27.82,17092.0336034226,14151619.22528
155,53053063100,8,10,10,571,1611,35.44,35.35,35.53,9475.28549037689,5299362.76773919
156,53053070205,4,3,5,304,1149,26.46,26.36,26.55,26414.17056141,41611135.9783236
157,53053071207,10,8,8,1298,2641,49.15,49.06,49.23,15675.5316708684,10571756.7511709
158,53053063200,9,10,9,713,1848,38.58,38.5,38.66,9097.45680790413,5111786.96698648
159,53053071505,7,8,7,664,1939,34.24,34.16,34.33,15267.9353637969,9710295.89979945
160,53053070311,1,2,1,305,1729,17.64,17.58,17.7,16505.7438051987,10779121.8542765
161,53053940009,3,8,1,297,1196,24.83,24.77,24.9,18653.7384351799,17105748.158014
162,53053940008,9,6,6,911,2372,38.41,38.36,38.46,13430.9851500544,6635671.27033472
163,53053070204,2,4,3,306,1354,22.6,22.53,22.67,17902.855362181,11317420.3378008
164,53053071304,4,7,5,644,2462,26.16,26.08,26.24,16799.9360080173,11608629.2043417
165,53053071707,8,10,7,375,1049,35.75,35.66,35.84,7590.51378883686,2743548.25341883
166,53053070203,3,2,2,691,2723,25.38,25.31,25.44,38100.5579300652,77835293.1347254
167,53053071100,5,7,6,282,981,28.75,28.68,28.82,15784.1479513427,14090563.9608447
168,53053940001,3,5,1,275,1081,25.44,25.39,25.49,42106.8878788722,35745081.6733855
169,53053071205,5,6,3,529,1837,28.8,28.73,28.86,19272.2357905745,16935324.7077628
170,53053071208,9,8,8,1275,3025,42.15,42.06,42.23,13197.5196854498,7970869.4622487
171,53053062400,9,8,7,972,2367,41.06,40.97,41.16,9413.22220839035,4910041.53924425
172,53061041810,10,8,10,1123,2237,50.2,50.09,50.32,6742.9356260168,1985113.00921754
173,53061051924,6,6,4,959,2992,32.05,31.98,32.12,11562.0380612572,5886942.90403836
174,53061051922,2,3,3,415,1992,20.83,20.77,20.89,16289.0516047629,8442260.655539
175,53061051921,4,7,5,583,2088,27.92,27.85,27.99,11843.6959039294,5437721.30401836
176,53061051926,6,7,5,574,1832,31.33,31.26,31.4,19134.8015542805,18789981.919437
177,53061052115,1,3,1,363,2361,15.37,15.32,15.43,10868.0868078293,6787459.76935243
178,53061052114,1,1,1,263,1559,16.87,16.81,16.93,18854.2628056089,14449759.3922614
179,53061052209,5,4,9,264,877,30.1,30.03,30.18,26744.3224302202,19175210.0826109
180,53061052709,3,3,4,322,1254,25.68,25.58,25.77,30491.0867886761,45109985.9034581
181,53061053604,8,1,2,663,1876,35.34,35.24,35.44,50876.0616545397,36017817.7735019
182,53061053603,6,2,1,471,1549,30.41,30.34,30.47,54676.1950753408,92715640.840305
183,53061052906,6,8,5,539,1761,30.61,30.53,30.68,10309.0480569921,5413318.15861791
184,53061053508,1,6,4,242,1229,19.69,19.62,19.76,35211.6380540591,33704894.4279216
185,53061052905,9,8,9,782,1803,43.37,43.3,43.45,10756.9079269404,4649142.01768627
186,53061041809,10,8,10,984,2115,46.52,46.41,46.64,7395.9199089771,2398792.14383891
187,53061051928,10,6,8,1045,2271,46.01,45.9,46.13,10406.0500898097,5107084.90926364
188,53061041303,4,7,6,511,1823,28.03,27.97,28.1,14450.3914608774,8463469.88407957
