"","OBJECTID","Census_Tract","IBL_Rank","EHD_Rank","Env_SEF_Rank","Count_","Population","Percentage","Lower_ME","Upper_ME","SHAPE_Length","SHAPE_Area","Census_Name","totalPop","whitePop","blackPop","nativePop","asianPop","pacificPop","otherPop","total_units","Percentage_Black","Ranking"
"1",1,53053062000,10,10,10,750,1696,44.22,44.12,44.32,9852.898801,4550109.386,"Census Tract 620, Pierce County, Washington",4621,2807,657,66,440,58,867,1789,14.217701796148,"3"
"2",2,53053071601,8,10,10,661,1844,35.85,35.76,35.93,12777.82294,8723994.434,"Census Tract 716.01, Pierce County, Washington",5171,2413,553,196,397,103,1761,1932,10.6942564300909,"3"
"3",3,53053073111,3,7,4,355,1507,23.56,23.49,23.62,14200.88978,8057223.458,"Census Tract 731.11, Pierce County, Washington",4406,3655,201,82,191,185,330,1628,4.5619609623241,"2"
"4",4,53053940007,8,10,10,383,1034,37.04,36.96,37.12,10220.39935,5453216.622,"Census Tract 9400.07, Pierce County, Washington",3265,1639,785,438,469,171,352,1148,24.0428790199081,"3"
"5",5,53053940006,9,10,10,461,1090,42.29,42.21,42.37,8624.0263,3954285.175,"Census Tract 9400.06, Pierce County, Washington",3431,1342,993,112,963,335,176,1139,28.9419994170796,"3"
"6",6,53053073116,2,3,2,339,1592,21.29,21.22,21.37,25342.67334,34719623.03,"Census Tract 731.16, Pierce County, Washington",5407,4676,396,322,734,6,145,1592,7.32383946735713,"1"
"7",7,53053072800,8,3,5,1363,3831,35.58,35.5,35.65,38988.32026,50699583.65,"Census Tract 728, Pierce County, Washington",9435,7369,1276,130,983,337,119,4079,13.5241123476418,"3"
"8",8,53053072107,2,5,3,392,1672,23.44,23.37,23.52,14541.04911,10913595.71,"Census Tract 721.07, Pierce County, Washington",4156,3247,492,43,536,37,163,1857,11.8383060635226,"2"
"9",9,53053071703,10,9,9,773,1586,48.74,48.64,48.84,9709.504393,1993702.031,"Census Tract 717.03, Pierce County, Washington",4156,2352,882,50,290,76,684,1745,21.2223291626564,"3"
"10",10,53053073113,5,7,5,710,2494,28.47,28.38,28.55,31969.32015,39864839.39,"Census Tract 731.13, Pierce County, Washington",7988,6767,436,78,707,0,285,2648,5.45818728092138,"2"
"11",11,53053072506,6,2,2,461,1483,31.09,31.02,31.16,35572.93709,60040427.81,"Census Tract 725.06, Pierce County, Washington",3625,3357,15,5,293,1,12,1606,0.413793103448276,"2"
"12",12,53053071411,9,7,9,783,2052,38.16,38.07,38.24,14029.50567,7281973.453,"Census Tract 714.11, Pierce County, Washington",6555,4127,1119,219,754,804,354,2121,17.070938215103,"3"
